iter	Passed	Remaining
410	3904	5595
411	3913	5585
412	3922	5574
413	3931	5564
414	3940	5554
415	3950	5545
416	3959	5535
417	3969	5526
418	3979	5517
419	3988	5508
420	3997	5497
421	4006	5487
422	4016	5479
423	4025	5468
424	4034	5458
425	4043	5448
426	4052	5438
427	4062	5429
428	4070	5417
429	4079	5407
430	4088	5398
431	4098	5388
432	4107	5378
433	4116	5368
434	4125	5358
435	4134	5348
436	4143	5337
437	4152	5327
438	4162	5318
439	4170	5308
440	4179	5298
441	4189	5288
442	4198	5278
443	4207	5268
444	4215	5258
445	4224	5248
446	4235	5239
447	4244	5230
448	4254	5221
449	4263	5210
450	4271	5199
451	4281	5190
452	4290	5181
453	4300	5171
454	4308	5161
455	4317	5150
456	4326	5141
457	4336	5132
458	4346	5122
459	4355	5113
460	4368	5107
461	4377	5097
462	4386	5087
463	4395	5077
464	4405	5068
465	4414	5058
466	4423	5048
467	4432	5039
468	4441	5028
469	4450	5019
470	4460	5009
471	4469	4999
472	4478	4990
473	4487	4980
474	4496	4969
475	4505	4959
476	4514	4949
477	4523	4940
478	4532	4929
479	4542	4921
480	4552	4911
481	4560	4901
482	4569	4891
483	4578	4881
484	4590	4874
485	4599	4864
486	4608	4854
487	4617	4844
488	4627	4835
489	4636	4825
490	4645	4815
491	4653	4805
492	4663	4795
493	4671	4784
494	4683	4778
495	4693	4768
496	4702	4758
497	4712	4750
498	4721	4740
499	4730	4730
500	4739	4720
501	4749	4711
502	4758	4702
503	4767	4691
504	4776	4681
505	4785	4671
506	4794	4661
507	4803	4652
508	4812	4642
509	4821	4632
510	4831	4623
511	4839	4612
512	4848	4603
513	4857	4593
514	4867	4583
515	4876	4574
516	4885	4564
517	4894	4554
518	4903	4544
519	4914	4536
520	4922	4526
521	4932	4516
522	4942	4507
523	4951	4498
524	4961	4488
525	4970	4479
526	4979	4469
527	4988	4459
528	4997	4449
529	5006	4439
530	5015	4430
531	5027	4422
532	5038	4414
533	5051	4408
534	5061	4399
535	5070	4389
536	5079	4379
537	5088	4369
538	5097	4360
539	5106	4349
540	5116	4340
541	5124	4330
542	5133	4320
543	5142	4310
544	5151	4300
545	5160	4290
546	5169	4280
547	5177	4270
548	5187	4261
549	5196	4251
550	5205	4241
551	5215	4233
552	5224	4223
553	5233	4213
554	5242	4203
555	5250	4192
556	5259	4183
557	5267	4172
558	5277	4163
559	5286	4153
560	5296	4144
561	5306	4135
562	5315	4125
563	5324	4116
564	5333	4106
565	5342	4096
566	5351	4086
567	5359	4076
568	5368	4066
569	5377	4056
570	5386	4046
