iter	Logloss
0	0.6806536124
1	0.6682513192
2	0.6577699772
3	0.6465749894
4	0.6360808899
5	0.6254399087
6	0.6143293966
7	0.6055909094
8	0.5946731663
9	0.5845119019
10	0.5751222147
11	0.5653462382
12	0.5573105927
13	0.5480788283
14	0.5382323969
15	0.5300197396
16	0.5209989485
17	0.5120362711
18	0.5041651656
19	0.4953909605
20	0.4890365202
21	0.480713385
22	0.4732818608
23	0.4665786437
24	0.4598432658
25	0.4520891323
26	0.445880461
27	0.4390901643
28	0.4320916357
29	0.4270437379
30	0.4209269596
31	0.4144590419
32	0.4074391807
33	0.4012893356
34	0.3962073772
35	0.3897462464
36	0.3836623362
37	0.3774160361
38	0.3719828885
39	0.3657035315
40	0.3608734329
41	0.3558117882
42	0.3515576525
43	0.3467471892
44	0.3426436391
45	0.3382045788
46	0.3334708974
47	0.3288707117
48	0.3253987086
49	0.3201669974
50	0.3162453809
51	0.3120985306
52	0.3072976082
53	0.3036513416
54	0.2998523631
55	0.2952032781
56	0.2913419715
57	0.2868726893
58	0.2840788221
59	0.2805755977
60	0.2775821722
61	0.2744900611
62	0.271056883
63	0.2672648133
64	0.2646041886
65	0.2612601516
66	0.25861533
67	0.2554157121
68	0.2528084582
69	0.2499230598
70	0.2465342972
71	0.2434928744
72	0.2402407314
73	0.2369892086
74	0.2337593099
75	0.2306482338
76	0.2278869725
77	0.2252029483
78	0.2232440867
79	0.2206552733
80	0.2175272573
81	0.2153404033
82	0.2128100761
83	0.2105063928
84	0.207715018
85	0.2060434888
86	0.2040121292
87	0.2017805321
88	0.1995809099
89	0.197124239
90	0.1956416477
91	0.1933845464
92	0.1913498108
93	0.1889649299
94	0.1871060437
95	0.1849822088
96	0.1829583032
97	0.1808060659
98	0.1786373652
99	0.1768680015
100	0.1756580931
101	0.174099587
102	0.1724289076
103	0.1711118312
104	0.1698354711
105	0.1681487944
106	0.1664501374
107	0.1649730973
108	0.1636753809
109	0.1618135782
110	0.1604403462
111	0.1589406076
112	0.1575021769
113	0.1563481267
114	0.1552872099
115	0.1537937577
116	0.1528585527
117	0.1514540475
118	0.1503256211
119	0.1490073225
120	0.1475951505
121	0.1466198804
122	0.1453328395
123	0.1434057044
124	0.1420952706
125	0.1406812769
126	0.13928322
127	0.1384065029
128	0.1372606348
129	0.135790367
130	0.1347569014
131	0.1335532701
132	0.1325038926
133	0.1314790641
134	0.130402197
